LOADING_TIP_0;A 'demesne' is the collection of Castles, Cities and Temples held by one person.;Un 'domaine' est l'ensemble des châteaux, cités et temples possédés par une personne.;Eine "Domäne" ist die Ansammlung von Burgen, Städten und Tempeln, die einer Person gehören.;;Una «heredad» es un conjunto de Castillos, Villas y Templos pertenecientes a una persona.;;;;;;;;;x
LOADING_TIP_1;Seniority succession is a great way to reunite your family lands but for some reason tends to lower your life expectancy.;La succession basée sur l'ancienneté permet de réunir les terres familiales, mais tend à réduire votre durée de règne.;Das Senioratsprinzip ist eine tolle Möglichkeit, die Ländereien Eurer Familie zusammenzufügen, reduziert merkwürdigerweise aber Eure Lebenserwartung.;;La sucesión por veteranía es gran forma de reunir las tierras de tu familia pero, por algún motivo, tu esperanza de vida baja.;;;;;;;;;x
LOADING_TIP_2;Right-clicking portraits brings up a quick menu.;Faites un clic droit sur les portraits pour afficher un menu rapide.;Rechtsklicks auf Portraits rufen ein Schnellmenü auf.;;Al hacer clic en los retratos con el botón derecho del ratón se abre un menú rápido.;;;;;;;;;x
LOADING_TIP_3;Right-click on a holding in your realm to access a quick menu for it.;Faites un clic droit de la souris sur une propriété de votre royaume pour accéder au menu rapide.;Rechtsklickt auf ein Besitztum in Eurem Reich, um ein Schnellmenü dazu aufzurufen.;;Haz clic con el botón derecho en una propiedad de tu reino para acceder a su menú rápido.;;;;;;;;;x
LOADING_TIP_4;In a matrilineal marriage, children are born to their mother's dynasty.;Les enfants issus d'un mariage matrilinéaire appartiennent à la dynastie de la mère.;Die in einer matrilinearen Ehe geborenen Kinder gehören der Dynastie der Mutter an.;;En un matrimonio matrilineal, los niños nacen en la dinastía de la madre.;;;;;;;;;x
LOADING_TIP_5;Illegitimate bastards cannot pass your dynasty on.;Les enfants illégitimes n'appartiennent pas à votre dynastie.;Uneheliche Bastarde können Eure Dynastie nicht weiterführen.;;Los bastardos ilegítimos no pueden continuar con tu dinastía.;;;;;;;;;x
LOADING_TIP_6;The second and third in line to the throne are called pretenders, and are likely to cause trouble.;Le deuxième et le troisième de la lignée sont des prétendants et peuvent poser problème.;Die Nummer zwei und drei in der Erbfolge werden Thronanwärter genannt und sorgen sehr wahrscheinlich für Schwierigkeiten.;;El segundo y el tercero en la línea de sucesión son los aspirantes al trono, y suelen causar problemas.;;;;;;;;;x
LOADING_TIP_7;Vassals who dislike you will not provide you with their full troop levies.;À défaut de vous apprécier, les vassaux ne mettront pas à votre disposition l'intégralité de leurs troupes.;Vasallen, die Euch nicht mögen, werden Euch nicht ihre vollen Truppen-Aufgebote zur Verfügung stellen.;;Los vasallos a los que no gustes se negarán a darte todas sus levas.;;;;;;;;;x
LOADING_TIP_8;You need a reason to declare war. Choose your casus belli wisely.;Pour déclarer la guerre, vous devez avoir une raison. Choisissez judicieusement votre casus belli.;Für eine Kriegserklärung benötigt Ihr einen Kriegsgrund. Wählt ihn weise aus.;;Necesitas un motivo para declarar la guerra. Elige bien tu casus belli.;;;;;;;;;x
LOADING_TIP_9;Crown Laws affect even those rulers who are not de facto part of the kingdom. Unless their government specifies otherwise.;Les lois de la Couronne affectent également les dirigeants qui ne font pas, de facto, partie du royaume.;Krongesetze betreffen sogar jene Herrscher, die de facto nicht zum Reich gehören.;;Las leyes de la Corona afectan a aquellos soberanos que no son parte de facto del reino.;;;;;;;;;x
LOADING_TIP_10;The Pope can grant powerful boons to good Catholics.;Le Pape peut accorder de puissants avantages aux bons catholiques.;Der Papst kann guten Katholiken enorme Vorteile verschaffen.;;El Papa puede conceder grandes favores a los buenos católicos.;;;;;;;;;x
LOADING_TIP_11;Mercenaries are professional soldiers and can win wars for you - just make sure they get paid!;Les mercenaires sont des soldats professionnels capables de remporter des guerres pour votre compte. Mais n'oubliez pas de les payer !;Söldner sind Berufssoldaten und können Kriege für Euch gewinnen - so lange Ihr sie anständig bezahlt!;;Los mercenarios son soldados profesionales, pueden ganar guerras por ti. ¡Solo tienes que asegurarte de que paguen!;;;;;;;;;x
LOADING_TIP_12;Holy orders will only fight against heretics and infidels. Don't try fighting a hospitaller with a Hospitaller, they'll just both look at you funny.;Les ordres saints ne combattront que les hérétiques et les infidèles. Soyez donc vigilant lorsque vous les utilisez au cours de batailles !  ;Heilige Orden kämpfen nur gegen Ketzer und Ungläubige. Seid vorsichtig, wenn Ihr sie im Kampf einsetzt!;;Las órdenes sagradas sólo lucharán contra los herejes e infieles. ¡Ten cuidado al usarlas en batalla!;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOADING_TIP_13;The four Hospitalier orders maintain friendly relations with each other and are tolerant of each other's different Christian faiths.;;;;;;;;;x
LOADING_TIP_14;You can hide the mini-map, manually or automatically.;Vous pouvez masquer la minicarte manuellement ou automatiquement.;Die Minikarte könnt Ihr manuell oder automatisch ausblenden.;;Puedes ocultar el minimapa de forma manual o automática.;;;;;;;;;x
LOADING_TIP_15;Right-click a received message to change its priority or appearance. Be careful to not click the do not notify button on important messages!;Cliquez sur le bouton droit de la souris sur un message reçu pour en modifier la priorité ou l'apparence.;Rechtsklickt auf die erhaltene Botschaft und ändert ihre Priorität oder ihre Erscheinung.;;Haz clic con el botón derecho en un mensaje recibido para cambiar su prioridad o apariencia.;;;;;;;;;x
LOADING_TIP_16;If you have free investiture, the Pope may ask you to change it unless you are Sevillian in which case you always get to choose your bishops.;En cas d'investiture libre, le Pape peut vous demander de changer cette loi.;Wenn Ihr das Gesetz freie Investitur habt, könnte Euch der Papst auffordern, dies zu ändern.;;Si aplicas la ley de libre investidura, el Papa puede pedirte que la cambies.;;;;;;;;;x
LOADING_TIP_17;Do not upset the Pope, he may have you excommunicated. This also applies to Sevillian characters.;Ne contrariez pas le Pape sous peine d'excommunication.;Verärgert den Papst nicht, denn er könnte Euch exkommunizieren.;;No enfades al Papa, puede hacer que te excomulguen.;;;;;;;;;x
LOADING_TIP_18;If you are childless and old, your family members may demand your titles.;Si vous êtes sans enfant ou âgé, les membres de votre famille peuvent exiger vos titres.;Wenn Ihr kinderlos und alt seid, könnten Eure Familienmitglieder Eure Titel fordern.;;Si no tienes descendencia y eres anciano, puede que los miembros de tu familia te pidan los títulos.;;;;;;;;;x
LOADING_TIP_19;The Thunder Dragon has stood for 600 years in the mountains and its people believe it will stand for 600 more. But will the world leave it behind?;;;;;;;;;x
LOADING_TIP_20;The more the Authority of a religion is eroded, the more susceptible it is to heresy.;Plus l'autorité d'une religion est faible, plus celle-ci est encline à l'hérésie.;Je mehr die Autorität einer Religion nachlässt, desto anfälliger wird sie für Ketzerei.;;Cuanto más erosionada la autoridad de una religión, más propensos serán sus miembros a la herejía.;;;;;;;;;x
LOADING_TIP_21;If you are playing in Yugoslavia, be careful of secret religious cults!;;;;;;;;;x
LOADING_TIP_22;Children are born with a fraction of their parents' dynasties' total Prestige.;Les enfants naissent avec une fraction du Prestige total des dynasties de leurs parents.;Kinder werden mit einem Teil des Gesamtprestiges ihrer elterlichen Dynastie geboren.;;Los niños nacen con una parte del prestigio de las dinastías de sus progenitores.;;;;;;;;;x
LOADING_TIP_23;Agnatic Succession means only males can inherit.;La succession agnatique signifie que seuls les hommes peuvent hériter.;Agnatische Nachfolge bedeutet, dass nur Männer erben können.;;La sucesión agnaticia significa que solo los varones pueden heredar.;;;;;;;;;x
LOADING_TIP_24;Agnatic-Cognatic (a.k.a. Male Preference) Succession means females can inherit only if there are no valid males.;La succession agnatico-cognatique (c.-à-d. la préférence masculine) signifie que les femmes ne peuvent hériter que s'il n'y a pas d'héritier mâle valide.;Die Agnatisch-Kognatische Nachfolge (auch Männlicher Vorzug genannt) bedeutet, dass Frauen nur dann erben können, wenn kein legitimer männlicher Nachkomme vorhanden ist.;;La sucesión agnaticia-cognaticia (preferencia masculina) significa que las mujeres pueden heredar solo en caso de ausencia de varón.;;;;;;;;;x
LOADING_TIP_25;Under Seniority Succession, the oldest member of the dynasty inherits.;Sous la succession par ancienneté, c'est le membre le plus âgé de la dynastie qui hérite.;Bei der Nachfolge durch das Senioratsprinzip erbt das älteste Mitglied der Dynastie.;;En la sucesión jerárquica, hereda el miembro de mayor edad de la dinastía.;;;;;;;;;x
LOADING_TIP_26;Under Primogeniture Succession, the oldest legitimate child inherits.;Sous la succession de la primogéniture, c'est l'enfant légitime le plus âgé qui hérite.;Bei der Nachfolge durch Primogenitur ist das älteste legitime Kind erbberechtigt.;;En la sucesión por primogénitura hereda el hijo legítimo de mayor edad;;;;;;;;;x
LOADING_TIP_27;Under Gavelkind Succession, the inheritance is divided among the children.;Sous la succession du partage salique, l'héritage est réparti entre tous les enfants.;Bei der Nachfolge durch Erbteilung wird das Erbe unter den Kindern aufgeteilt.;;En la sucesión equitativa la herencia se divide entre los hijos.;;;;;;;;;x
LOADING_TIP_28;Christianity has lost a lot of ground since the Event to pagans and Old World Cultists such as the Zarists to the east or the Novelists to the west.;;;;;;;;;x
LOADING_TIP_29;You gain more Prestige in battle as an ally than as a primary participant.;Vous gagnez plus de prestige au cours d'une bataille en tant qu'allié qu'en tant qu'instigateur.;Verbündete können in einer Schlacht mehr Prestige gewinnen als Hauptakteure;;Ganas más Prestigio en batalla como aliado que como participante primario.;;;;;;;;;x
LOADING_TIP_30;Hold down shift while giving orders to a unit to create a custom path.;Maintenez la touche Maj. appuyée lorsque vous donnez des ordres à une unité pour créer un parcours personnalisé.;Die Umschalttaste bei der Erteilung eines Truppenbefehls gedrückt halten, um einen angepassten Pfad zu erstellen;;Mantén pulsada la tecla Shift al dar órdenes a una unidad para crear una ruta personalizada.;;;;;;;;;x
LOADING_TIP_31;Under Gavelkind Succession Law, you suffer no Prestige penalty for having unlanded sons.;Avec la loi de succession bas? sur le partage salique, vous ne subissez aucune p?alit?de prestige lorsque vous avez des fils sans terres.;Unter dem Nachfolgegesetz "Erbteilung" erleidet Ihr durch landlose S?ne keine Prestigeverluste.;;Merced a la Ley de Sucesi? equitativa, no pierdes prestigio por tener hijos sin tierras.;;;;;;;;;x
LOADING_TIP_32;Gavelkind Succession Law allows you to have a larger demesne. At the cost of dividing your realm on death.;La loi du partage salique vous permet d'avoir un domaine plus grand.;Das Nachfolgegesetz "Erbteilung" gestattet Euch eine gr?ere Dom?e.;;La Ley de Sucesi? equitativa iguales te permite poseer una heredad mayor.;;;;;;;;;x
LOADING_TIP_33;Employed Holy Orders cost no maintenance when you are defending against heretics or infidels.;Aucun frais d'entretien ne s'applique aux ordres sacr? employ? lorsque vous vous d?endez face ?des h??iques ou ?des infid?es.;Ritterorden in Euren Diensten kosten Euch keinen Unterhalt, wenn Ihr gegen Ketzer oder Ungl?bige verteidigt.;;Las ?denes Militares contratadas no te cuestan dinero cuando te defiendes contra herejes o infieles.;;;;;;;;;x
LOADING_TIP_34;Your councilors cannot both lead troops and perform missions in counties.;Vos conseillers ne peuvent pas ?la fois mener des troupes et effectuer leurs missions dans les comtés.;Eure Räte können nicht gleichzeitig Truppen befehligen und Aufträge in Grafschaften ausführen.;;Tus consejeros no pueden liderar tropas y realizar misiones en condados.;;;;;;;;;x
LOADING_TIP_35;Beware the invasions from the east...;;;;;;;;;;x
LOADING_TIP_36;If you have no Spymaster, you cannot discover plots.;Si vous n'avez pas de maître-espion, il vous sera impossible de découvrir des complots.;Wenn Ihr keinen Hofspitzel habt, könnt Ihr keine Verschwörungen aufdecken.;;Si no tienes Jefe de espías no puedes descubrir complots.;;;;;;;;;x
LOADING_TIP_37;Sometimes the most skilled Councilor is also an enemy. Tread carefully.;Parfois, le plus talentueux des conseillers est aussi un ennemi. Prudence?;Manchmal ist der fähigste Berater auch ein Feind. Handelt mit Vorsicht.;;A veces el consejero más capaz es también un enemigo. Ve con cuidado.;;;;;;;;;x
LOADING_TIP_38;You'll have better results plotting against your liege if you are the Spymaster.;En cas de complot contre votre seigneur lige, vous obtiendrez de meilleurs résultats si vous êtes le maître-espion.;Seid Ihr der Hofspitzel, so haben Eure Verschwörungen gegen Euren Lehnsherrn bessere Erfolgschancen.;;Lograrás mejores resultados conspirando contra tu señor si eres el Jefe de espías.;;;;;;;;;x
LOADING_TIP_39;Use your Court Chaplain to convert the religion of counties and vassals.;Utilisez votre chapelain pour convertir les comtés et les vassaux ?une nouvelle religion.;Konvertiert Eure Grafschaften und Vasallen mit Hilfe Eures Hofkaplans;;Usa a tu Capellán de la corte para mudar la religión de condados y vasallos.;;;;;;;;;x
LOADING_TIP_40;All your children will get claims on your titles.;Tous vos enfants revendiqueront vos titres.;All Eure Kinder erhalten Ansprüche auf Eure Titel.;;Todos tus hijos tendrán reclamaciones sobre tus títulos.;;;;;;;;;x
LOADING_TIP_41;A smaller group of direct vassals is easier to control.;Déléguez. Un petit groupe de vassaux directs est plus facile ?contrôler.;Delegieren könnte ein Mittel sein, um das Reich zusammenzuhalten. Denn eine kleinere Gruppe direkter Vasallen ist einfacher zu kontrollieren.;;Delega. Un grupo más pequeño de vasallos directos es más fácil de controlar.;;;;;;;;;x
LOADING_TIP_42;Allies might refuse to participate in a war against someone they like more than you.;Vos alliés risquent de refuser de participer ?une guerre contre quelqu'un qu'ils aiment bien.;Verbündete könnten die Teilnahme an einem Krieg gegen jemand verweigern, den sie mehr mögen als Euch.;;Los aliados podrían negarse a participar en una guerra contra alguien que les guste más que t?;;;;;;;;;x
LOADING_TIP_43;You can also build improvements in the Holdings of your direct vassals.;Vous pouvez aussi construire des améliorations dans les propriétés de vos vassaux directs.;In den Besitztümern Eurer direkten Vasallen könnt Ihr ebenfalls Verbesserungen bauen.;;También puedes construir mejoras en las posesiones de tus vasallos directos.;;;;;;;;;x
LOADING_TIP_44;Children tend to get the same traits and skills as their assigned guardian.;Les enfants ont tendance ?hériter des traits et des compétences de leur tuteur.;Kinder tendieren dazu, die gleichen Fähigkeiten und Eigenschaften wie die ihnen zugeteilten Vormünder zu erlangen.;;Los niños tienden a adquirir los rasgos y habilidades de su tutor asignado.;;;;;;;;;x
LOADING_TIP_45;Just as Christians have Crusades, Muslims have Jihad.;Les chrétiens ont les croisades et les musulmans le djihad.;Was den Christen ihre Kreuzzüge sind, ist der Dschihad den Muslimen.;;Igual que los cristianos tienen cruzadas, los musulmanes tienen yihad.;;;;;;;;;x
LOADING_TIP_46;Nobles care about Prestige. Religious leaders care about Piety. Everyone cares for Gold.;Les nobles s'intéressent au prestige, les chefs religieux s'intéressent ?la piét?et tout le monde s'intéresse ?l'or.;Edelleute finden Prestige wichtig, religiöse Oberhäupter Pietät, aber alle interessieren sich für Gold.;;Los nobles se interesan por el prestigio. Los líderes religiosos se interesan por la piedad. Todos se interesan por el oro.;;;;;;;;;x
LOADING_TIP_47;If an Antipope dethrones the reigning pope, he becomes the new Pope.;Si un antipape détrône le pape régnant, il devient le nouveau pape.;Wenn ein Gegenpapst den amtierenden Papst stürzt, wird er selbst der neue Papst.;;Si un antipapa derroca al papa reinante, aquel se convierte en el nuevo papa.;;;;;;;;;x
LOADING_TIP_48;Nominating someone a Bishop will disqualify him from succession;La nomination de quelqu'un comme évêque va le disqualifier de la succession;Jemanden als Bischof einzusetzen, entfernt ihn aus jeder Erblinie.;;Nombrar a alguien obispo le descalifica para la sucesión ;;;;;;;;;x
LOADING_TIP_49;Carefully check the traits of your wife;Vérifiez bien les traits de votre femme;Wähle die Eigenschaften der zukünftigen Gattin weise aus.;;Comprueba cuidadosamente los rasgos de tu esposa;;;;;;;;;x
LOADING_TIP_50;Greedy and generally indulgent characters like gifts more;Les sujets avares et généralement indulgents aiment beaucoup les cadeaux;Geizige und allgemein verschwenderische Charaktere mögen Geschenke mehr.;;Personajes codiciosos e indulgente generalmente les gustan más los regalos ;;;;;;;;;x
LOADING_TIP_51;With Agnatic-Cognatic succession, a younger daughter with a son comes before an older daughter without.;Lors d'une succession agnatico-cognatique, la fille cadette, mère d'un garçon, passerait avant sa soeur aînée qui n'aurait pas de garçon.;In einer agnatisch-kognatischen Erbfolge steht eine jüngere Tochter mit einem Sohn vor einer älteren Tochter ohne einen Sohn.;;En la sucesión agnaticio-cognaticia, una hija que tenga un hijo tiene preferencia frente a una hija de mayor edad sin hijos.;;;;;;;;;;x
LOADING_TIP_52;You can make selection choose fleets exclusively using the ALT key.;Vous pouvez sélectionner uniquement vos flottes en utilisant la touche ALT.;Sie können eine Auswahl nur auf Flotten treffen, indem Sie die Alt-Taste gedrückt halten.;;Puedes hacer que la tropa seleccionada se embarque usando simplemente la tecla ALT;;;;;;;;;x
LOADING_TIP_53;Jewish councilors will sometimes benefit the advancement of technology.;Les conseillers juifs bénéficient parfois des dernières avancées technologiques.;Jüdische Berater können gelegentlich den technologischen Fortschritt beschleunigen.;;Los consejeros judíos pueden beneficiarte con avances tecnológicos.;;;;;;;;;x
LOADING_TIP_54;Muslims can get rid of the Decadent trait by going on the Hajj to Mecca.;Les musulmans peuvent perdre le trait de décadence en accomplissant le hajj à La Mecque.;Moslems können den Dekadent-Nachteil loswerden, indem sie sich auf Haddsch nach Mekka begeben.;;Los Musulmanes pueden perder el rasgo Decadente realizando un Hajj a la Meca.;;;;;;;;;x
LOADING_TIP_55;"Heathens grabbed Him, oh our Prophet, heathens judged Him, oh our Prophet, heathens killed Him, oh our Prophet, we will avenge Him, oh our Prophet." - Saint-Just 31:12;;;;;;;;;x
LOADING_TIP_56;The Nigerian Empire will enforce its hegemony over Africa should a kingdom grow too powerful in the region.;;;;;;;;;x
LOADING_TIP_57;The Vaesenite faithful seek the mysterious knowledge of the old world as means to attain knowledge, but their understanding is questionable.;;;;;;;;;x
LOADING_TIP_58;In Czechia and Slovakia there is a potential greater kingdom that can unify the region known as Czechoslovakia.;;;;;;;;;x
LOADING_TIP_59;The Legatian Guard carries the icon of Anaxorgos on their shields into battle for protection.;;;;;;;;;x
LOADING_TIP_60;Try clicking a Wikipedia link!;;;;;;;;;x
LOADING_TIP_61;Several nations in the world have remnants of their Antediluvian democracies in the form of parliamentary bodies.;;;;;;;;;x
LOADING_TIP_62;Andorra's Monasteries are believed to be impenetrable and host many antediluvian relics.;;;;;;;;;x
LOADING_TIP_63;The post event empire of Numenor was collapsed by the Brwtysh invasion of France.;;;;;;;;;x
LOADING_TIP_64;The House Belgium-Oranje-Nassau-Wielburg were forcefully converted to Novelism when the Emperor of the Benelux was killed and his 3 legitimate sons were abducted.;;;;;;;;;x
LOADING_TIP_65;Estonia's monarch fears the growing power of Catholic Lithuania to his south.;;;;;;;;;x
LOADING_TIP_66;The Koryo-Saram, Kasachdeutsche, Klynska, Grekter and Avars were forcibly moved to the steppe by the usurper Tsar Stalin centuries ago before the Event if their legends are to believed.;;;;;;;;;x
LOADING_TIP_67;Doggerland arose from the sea soon after the Event in a large earthquake which damaged structures across Europe.;;;;;;;;;x
LOADING_TIP_68;As Transnistria be careful not to let the Ukrainians gain control or they will destroy the empire.;;;;;;;;;x
LOADING_TIP_69;In the east the Soitoskan were a tribe of Samoyedic people on a migration south, when they arrived on the steppe they adopted the local Ironist religion and the Alagol way of life.;;;;;;;;;x
LOADING_TIP_70;Yarsanis believe that in this new cycle it is their duty to find the next reincarnation of God so he may lead his faithful through this new world.;;;;;;;;;x
LOADING_TIP_71;The Amriqi, Kuhjungs and the Seiryujin were all born from the common root of American men-at-arms mixing with the natives of different regions over centuries.;;;;;;;;;x
LOADING_TIP_72;The Amriqi sit on a huge stockpile of antediluvian martial artifacts, these can be seen as rusted iron chariots and ships strewn about.;;;;;;;;;x
LOADING_TIP_73;The distant cousin of Belgium-Oranje-Nassau-Wielburg, House Oranje-Nassau, may yet reclaim the Benelux from them.;;;;;;;;;x
LOADING_TIP_74;The remnants of the old United States still exist in America beyond the ocean on the eastern coast of north America, they have no intention to meddle with Old World affairs unless provoked...;;;;;;;;;x
LOADING_TIP_75;The Doggermen are the result of Eastlanders and Danes intermixing on the island during centuries of co-habitation.;;;;;;;;;x
LOADING_TIP_76;The Sazzacs and Ucraneans are the Latinized Slavs who's culture came into being at the height of Transnistria's power.;;;;;;;;;x
LOADING_TIP_77;"For all the Luxuries our nation has we are perhaps some of the most unfortunate of all peoples, for we better remember what was lost."~Jigme Wangchuk 11th;;;;;;;;;x